J1 [rad],J2 [rad],J3 [rad],J4 [rad],J5 [rad],J6 [rad],,Electrical Power [W],,J1 [W], J2 [W],J3 [W],J4 [W],J5 [W],J6 [W]
-0.000210296,0.602958897,-0.563409561,-0.01497482,1.609647356,-0.016524428,,9.447947657,,7.11E-29,9.01239168,0.351727983,0.083827751,2.43E-07,0
-0.000222067,0.602950232,-0.563382778,-0.014974715,1.609665498,-0.016500605,,12.35429218,,0.061985811,10.95444008,1.253210404,0.083927704,0.000728182,0
-0.000303242,0.602891067,-0.563200045,-0.01497399,1.609789217,-0.016254147,,19.87779281,,0.461648429,15.35856821,3.968126863,0.0845016,0.004947711,0
-0.000519911,0.602734925,-0.562718294,-0.014972057,1.610115227,-0.015492066,,32.40379254,,1.475033617,22.19925299,8.629068637,0.085506494,0.014930808,0
-0.000934607,0.602439601,-0.56180811,-0.014968359,1.610730847,-0.013909332,,50.10439335,,3.32260301,31.39127133,15.2717841,0.086893382,0.031841535,0
-0.001606367,0.601967028,-0.560353302,-0.014962373,1.611714294,-0.010978383,,72.96399536,,6.173736179,42.79679101,23.84921236,0.088608815,0.055646996,0
-0.002590799,0.601283137,-0.558250468,-0.014953607,1.613134989,-0.006545386,,100.8037949,,10.15103352,56.23250972,34.24460403,0.090596413,0.085051175,0
-0.003940145,0.600357732,-0.555408567,-0.014941602,1.615053852,-0.000310232,,133.3053609,,15.33446186,71.47676604,46.28384766,0.092798303,0.117486987,0
-0.005703348,0.599164349,-0.551748479,-0.014925927,1.617523604,0.008037346,,170.0333315,,21.76537295,88.27654525,59.74707241,0.095156531,0.149184344,0
-0.007926112,0.597680125,-0.547202578,-0.014906182,1.620589064,0.019149054,,210.4572135,,29.45041523,106.3543056,74.3795598,0.097614441,0.175318411,0
-0.010650972,0.595885664,-0.541714299,-0.014881996,1.624287449,0.032705201,,253.9722285,,38.36535116,125.4145568,89.90197027,0.100118018,0.190232223,0
-0.013917351,0.593764904,-0.535237701,-0.014853029,1.628648673,0.048705856,,299.9191255,,48.45878584,145.1501318,106.0198699,0.102617167,0.187720731,0
-0.017761631,0.591304981,-0.527737039,-0.014818967,1.633695647,0.067160968,,347.6028642,,59.65580694,165.2481019,122.4325295,0.105066911,0.161358865,0
-0.022217214,0.588496096,-0.51918633,-0.014779522,1.639444578,0.08845765,,396.310071,,71.86153166,185.3952972,138.8409599,0.107428457,0.104853783,0
-0.027314586,0.585331383,-0.509568916,-0.014734437,1.645905266,0.11219884,,445.3251716,,84.9645524,205.2834042,154.955144,0.109670103,0.012400831,0
-0.033081382,0.581806771,-0.49887704,-0.014683478,1.653081408,0.138384364,,494.1870898,,98.84026945,224.6136228,170.5004267,0.111767962,0.121002847,0
-0.039542453,0.577920854,-0.487111404,-0.014626439,1.66097089,0.167024344,,542.0909583,,113.3540965,243.1008718,185.2230283,0.113706461,0.299255293,0
-0.046719926,0.573674757,-0.474280743,-0.014563137,1.669566096,0.198506768,,588.377029,,128.3645211,260.4775413,198.8946521,0.115478601,0.524835894,0
-0.054633269,0.569071999,-0.460401388,-0.014493414,1.678854196,0.232432478,,632.454689,,143.726002,276.4967946,211.3161691,0.117085971,0.798637421,0
-0.063299358,0.564118361,-0.445496838,-0.014417137,1.688817454,0.268803394,,673.7858555,,159.2916792,290.9354238,222.3203732,0.118538501,1.119840739,0
-0.07273254,0.558821752,-0.429597321,-0.014334196,1.699433524,0.307628243,,711.8916793,,174.9158764,303.5962706,231.7738131,0.119853961,1.485865217,0
-0.082944696,0.553192077,-0.412739366,-0.014244502,1.710675748,0.349294489,,746.3577657,,190.4563688,314.310218,239.5777249,0.121057232,1.892396858,0
-0.093945306,0.547241099,-0.39496537,-0.01414799,1.722513457,0.39340594,,776.8379311,,205.7763925,322.9377645,245.6681025,0.122179338,2.333492248,0
-0.105741516,0.540982309,-0.376323162,-0.014044615,1.734912271,0.439960853,,803.0565313,,220.7463723,329.3701875,250.0149621,0.12325629,2.801753074,0
-0.118338196,0.53443079,-0.356865576,-0.013934354,1.747834393,0.488971443,,824.8094069,,235.2453429,333.5303041,252.6208692,0.124327765,3.288562954,0
-0.131738013,0.527603084,-0.33665001,-0.013817204,1.761238917,0.540821685,,841.9635086,,249.1620487,335.372833,253.5188155,0.125435647,3.784375739,0
-0.145941486,0.520517058,-0.315738002,-0.013693179,1.775082119,0.595118878,,854.4552778,,262.3957052,334.8843659,252.7695418,0.126622484,4.279042385,0
