J1 [rad],J2 [rad],J3 [rad],J4 [rad],J5 [rad],J6 [rad],,Electrical Power [W],,J1 [W], J2 [W],J3 [W],J4 [W],J5 [W],J6 [W]
-0.000210296,0.602958897,-0.563409561,-0.01497482,1.609647356,-0.016524428,,9.447947657,,1.29E-34,9.01239168,0.351727983,0.083827751,2.43E-07,0
-0.000217801,0.60295017,-0.563392806,-0.014974593,1.609656083,-0.016500605,,10.54563768,,0.071514818,9.804298489,0.591989177,0.077774648,6.05E-05,0
-0.000295528,0.602934462,-0.563361565,-0.014973686,1.609671791,-0.016254147,,14.13215941,,0.626970654,12.1916994,1.239678162,0.072695322,0.001115872,0
-0.000536006,0.602862904,-0.563223684,-0.014971783,1.609738113,-0.015492066,,20.91533707,,2.286951128,15.98463975,2.570160018,0.069872182,0.003713986,0
-0.001035406,0.602718041,-0.562941115,-0.014962917,1.609875994,-0.013909332,,34.62314123,,7.219627899,22.56106904,4.771766713,0.059306286,0.011371296,0
-0.001960162,0.602447515,-0.562415596,-0.014955168,1.610130812,-0.010978383,,50.76849232,,13.06110795,30.03440234,7.598635703,0.054036103,0.020310218,0
-0.003358886,0.602039108,-0.561621646,-0.014949845,1.61051653,-0.006545386,,73.21789741,,22.6421254,39.43424605,11.05449769,0.052549297,0.034478971,0
-0.005326221,0.60146315,-0.560503065,-0.014934241,1.611059327,-0.000310232,,102.4922646,,36.24565445,50.87335409,15.26740132,0.051817874,0.054036903,0
-0.007960063,0.600693459,-0.559007317,-0.014913332,1.61178713,0.008037346,,152.0436728,,63.28165809,67.50136453,21.12581759,0.042913855,0.091918699,0
-0.01146608,0.599668951,-0.557016071,-0.014885547,1.612755787,0.019149054,,176.0636727,,70.77716934,79.06900321,26.0664791,0.054020775,0.097000319,0
-0.015743341,0.598419295,-0.554586922,-0.0148516,1.61393563,0.032705201,,207.7552612,,84.74373501,91.7227217,31.12111176,0.058285744,0.109406952,0
-0.020791933,0.596944492,-0.551720044,-0.014811527,1.615330148,0.048705856,,239.8668859,,99.14290917,104.3382845,36.20518641,0.062191391,0.118314407,0
-0.026614875,0.595242796,-0.54841282,-0.014765363,1.616937596,0.067160968,,297.2772947,,132.4230278,121.894197,42.75306956,0.056942781,0.150057557,0
-0.033334567,0.593279301,-0.544596483,-0.014712078,1.618792881,0.08845765,,307.0780094,,128.9843235,130.8108935,47.0914102,0.071145566,0.120236578,0
-0.040825346,0.591090658,-0.540342243,-0.014652632,1.620861096,0.11219884,,337.9688234,,142.9564584,142.7110423,52.11395477,0.07501181,0.1123562,0
-0.04908756,0.588676867,-0.535650274,-0.01458706,1.623142242,0.138384364,,369.59788,,157.6705605,154.5685953,57.18082022,0.0784174,0.09948651,0
-0.058124176,0.586036184,-0.530517959,-0.014515397,1.625638063,0.167024344,,437.4371361,,200.229844,172.7979895,64.22196676,0.070784006,0.11655183,0
-0.068057369,0.583133702,-0.524876531,-0.014436596,1.628379975,0.198506768,,434.5009607,,187.4309769,178.959012,67.98203745,0.086400077,0.04253426,0
-0.078761822,0.580006072,-0.518797375,-0.01435165,1.631336563,0.232432478,,464.2975432,,201.5449891,189.6899692,72.96976814,0.089705405,0.003111391,0
-0.090237537,0.576653294,-0.512280315,-0.014260632,1.634504335,0.268803394,,495.1349541,,216.6396371,200.3399526,78.01883062,0.092551341,0.043982492,0
-0.102487654,0.573073624,-0.505322909,-0.014163469,1.637886783,0.307628243,,573.1586306,,268.6705368,218.8201919,85.53287025,0.082402823,0.052628849,0
-0.115634521,0.569232154,-0.497856391,-0.014059168,1.641517068,0.349294489,,557.409289,,246.6691026,221.7137676,88.74229105,0.099366452,0.184761227,0
-0.129552474,0.565165537,-0.489951969,-0.013948724,1.645360283,0.39340594,,585.9761434,,261.074724,230.8308189,93.70080032,0.102087222,0.267712904,0
